semaine;date;date_fr;heure;plateforme;univers;article;slug;appat_seo;texte;lien;image
1;2026-09-01;mardi 1 sept. 2026;19:00;Facebook;ÉPS + service de garde;Faire bouger les enfants au primaire : 10 leviers;faire-bouger-enfants;OUI;"Y'a des semaines où t'as l'impression que les enfants passent plus de temps assis qu'en mouvement, même à l'école.
On a rassemblé 10 leviers concrets pour faire bouger les jeunes du primaire : des jeux à essayer dès demain, des rituels actifs entre deux périodes, pis des idées qui marchent même quand t'as pas de gymnase de libre.
Rien de théorique là-dedans : c'est du testé sur le plancher.
Toi, c'est quoi ton truc no 1 pour réveiller un groupe amorphe un mardi après-midi ?
👉 https://zonetotalsport.ca/articles/faire-bouger-enfants.html";https://zonetotalsport.ca/articles/faire-bouger-enfants.html;promo/faire-bouger-enfants-carre.webp
1;2026-09-03;jeudi 3 sept. 2026;07:30;LinkedIn;ÉPS + service de garde;Faire bouger les enfants au primaire : 10 leviers;faire-bouger-enfants;OUI;"La sédentarité chez les 5-12 ans n'est pas seulement une question de temps d'éducation physique : elle se joue aussi dans les transitions, les récréations et les moments creux de la journée.
Cet article rassemble 10 leviers applicables dès la semaine prochaine, autant pour un cours structuré au gymnase que pour une plage d'animation en service de garde.
Chaque levier est accompagné d'exemples de jeux et de rituels actifs testés en milieu scolaire primaire.
L'objectif n'est pas d'ajouter une tâche de plus, mais de récupérer du mouvement là où il y en avait déjà la place.
À lire et à partager avec votre équipe-école.
https://zonetotalsport.ca/articles/faire-bouger-enfants.html";https://zonetotalsport.ca/articles/faire-bouger-enfants.html;promo/faire-bouger-enfants-carre.webp
1;2026-09-06;dimanche 6 sept. 2026;10:00;X;ÉPS + service de garde;Faire bouger les enfants au primaire : 10 leviers;faire-bouger-enfants;OUI;"10 leviers pour faire bouger les enfants au primaire : des jeux à essayer demain, des rituels actifs entre les cours, zéro théorie.
Article complet, gratuit, sans compte :
https://zonetotalsport.ca/articles/faire-bouger-enfants.html
#ÉPS #servicedegarde";https://zonetotalsport.ca/articles/faire-bouger-enfants.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/faire-bouger-enfants.jpg)
2;2026-09-08;mardi 8 sept. 2026;19:00;Facebook;ÉPS;Comportements perturbateurs en EPS : que faire ?;comportements-perturbateurs;OUI;"Le petit qui lance le ballon dans le plafond pendant les consignes. Celui qui part à courir avant le signal. Celui qui teste, juste pour voir.
On a mis noir sur blanc comment repérer les déclencheurs avant l'explosion, à quel moment intervenir (et surtout quand se taire), pis comment éviter que ça monte en escalade devant les 27 autres.
C'est du terrain, pas de la théorie de bac.
Ton pire déclencheur à toi, c'est lequel : les transitions, le matériel, ou l'attente du tour ?
👉 https://zonetotalsport.ca/articles/comportements-perturbateurs.html";https://zonetotalsport.ca/articles/comportements-perturbateurs.html;promo/comportements-perturbateurs-carre.webp
2;2026-09-10;jeudi 10 sept. 2026;07:30;LinkedIn;ÉPS;Comportements perturbateurs en EPS : que faire ?;comportements-perturbateurs;OUI;"En éducation physique, un comportement perturbateur ne commence presque jamais au moment où on le voit : il commence dans la transition d'avant, dans l'attente d'un tour, ou dans une consigne trop longue.
Cet article propose une lecture en trois temps — identifier les déclencheurs, choisir le moment d'intervention, désamorcer sans escalade — avec des outils applicables dans un gymnase bruyant et un groupe complet.
Il s'adresse autant aux enseignants d'éducation physique qu'aux personnes qui animent de grands groupes en contexte parascolaire.
Une ressource utile en début d'année, quand le cadre se pose encore.
https://zonetotalsport.ca/articles/comportements-perturbateurs.html";https://zonetotalsport.ca/articles/comportements-perturbateurs.html;promo/comportements-perturbateurs-carre.webp
2;2026-09-13;dimanche 13 sept. 2026;10:00;X;ÉPS;Comportements perturbateurs en EPS : que faire ?;comportements-perturbateurs;OUI;"Repérer le déclencheur avant l'explosion, intervenir au bon moment, éviter l'escalade devant les 27 autres.
Guide complet sur les comportements perturbateurs au gymnase, gratuit :
https://zonetotalsport.ca/articles/comportements-perturbateurs.html
#ÉPS #gestiondeclasse";https://zonetotalsport.ca/articles/comportements-perturbateurs.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/comportements-perturbateurs.jpg)
3;2026-09-15;mardi 15 sept. 2026;19:00;Facebook;ÉPS + camp de jour + service de garde;Vomi, guêpes et alarme de feu : le guide des catastrophes ordinaires;catastrophes-ordinaires;OUI;"Le vomi en plein milieu du gymnase. La guêpe dans le local. L'alarme de feu pendant que la moitié du groupe est en maillot.
Ta formation ne t'a jamais parlé de ça. Nous, oui.
On a documenté 14 situations que tout le monde vit pis dont personne ne parle, avec 3 à 4 solutions concrètes pour chacune — incluant le fameux réflexe « Code Oreille » pour gérer sans paniquer devant 25 témoins.
Laquelle t'est déjà arrivée ? (On sait que t'en as une.)
👉 https://zonetotalsport.ca/articles/catastrophes-ordinaires.html";https://zonetotalsport.ca/articles/catastrophes-ordinaires.html;promo/catastrophes-ordinaires-carre.webp
3;2026-09-17;jeudi 17 sept. 2026;07:30;LinkedIn;ÉPS + camp de jour + service de garde;Vomi, guêpes et alarme de feu : le guide des catastrophes ordinaires;catastrophes-ordinaires;OUI;"Il existe une catégorie d'imprévus dont on ne parle jamais en formation initiale : l'accident corporel devant un groupe, l'insecte qui déclenche une panique collective, l'évacuation au moment le plus inopportun de la journée.
Ces situations sont pourtant fréquentes, et la qualité de la réponse tient presque entièrement à ce qui a été préparé d'avance.
Cet article documente 14 scénarios réels avec, pour chacun, trois à quatre pistes d'intervention concrètes, plus un protocole simple pour préserver la dignité de l'enfant devant témoins.
Utile en éducation physique, en camp de jour comme en service de garde — les trois milieux vivent exactement les mêmes scènes.
https://zonetotalsport.ca/articles/catastrophes-ordinaires.html";https://zonetotalsport.ca/articles/catastrophes-ordinaires.html;promo/catastrophes-ordinaires-carre.webp
3;2026-09-20;dimanche 20 sept. 2026;10:00;X;ÉPS + camp de jour + service de garde;Vomi, guêpes et alarme de feu : le guide des catastrophes ordinaires;catastrophes-ordinaires;OUI;"Vomi en plein gymnase, guêpe dans le local, alarme de feu au pire moment : 14 situations que ta formation n'a jamais couvertes, avec des solutions.
Gratuit, sans compte :
https://zonetotalsport.ca/articles/catastrophes-ordinaires.html
#ÉPS #campdejour #servicedegarde";https://zonetotalsport.ca/articles/catastrophes-ordinaires.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/catastrophes-ordinaires.jpg)
4;2026-09-22;mardi 22 sept. 2026;19:00;Facebook;ÉPS;Rentrée scolaire en EPS : guide de démarrage;rentree-scolaire;;"La première semaine en éducation physique, c'est là que se joue le reste de l'année. Pas dans le contenu : dans les routines.
L'article couvre ce qu'il faut installer dès les premiers cours — les signaux, les règles, le rangement, l'entrée et la sortie du gymnase — pis le matériel à prévoir avant que tout le monde se garroche dessus.
Un cadre posé en septembre, c'est des mois de gestion en moins.
Ta première activité de l'année avec un nouveau groupe, c'est quoi ?
👉 https://zonetotalsport.ca/articles/rentree-scolaire.html";https://zonetotalsport.ca/articles/rentree-scolaire.html;promo/rentree-scolaire-carre.webp
